2026-01-09 10:19:20,262 [INFO] 开始启动浏览器实例
2026-01-09 10:19:59,932 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 10:20:29,959 [ERROR] 搜索 小目标 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:20:30,145 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:20:30,145 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:21:00,175 [ERROR] 搜索 高速目标 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:21:00,259 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:21:00,260 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:21:30,308 [ERROR] 搜索 低速目标 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:21:30,398 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:21:30,399 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:22:00,793 [ERROR] 搜索 非大陆籍 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:22:00,880 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:22:00,880 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 10:22:30,926 [ERROR] 搜索 渔船 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:22:31,014 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:22:31,015 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:23:01,048 [ERROR] 搜索 纯雷达 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:23:01,137 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:23:01,138 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:23:31,186 [ERROR] 搜索 AIS目标 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:23:31,295 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:23:31,295 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:24:01,336 [ERROR] 搜索 北斗目标 时发生错误: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("button", name="{filter}")

2026-01-09 10:24:03,045 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 10:24:03,071 [INFO] 页面上下文已关闭
2026-01-09 10:24:03,621 [INFO] 浏览器实例已关闭
2026-01-09 10:24:10,142 [INFO] 开始启动浏览器实例
2026-01-09 10:24:10,946 [INFO] 浏览器实例启动成功
2026-01-09 10:24:13,047 [INFO] 开始获取全局公共参数
2026-01-09 10:24:13,047 [INFO] 正在请求登录接口获取token
2026-01-09 10:24:13,047 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 10:24:15,252 [INFO] 接口调用成功: 200
2026-01-09 10:24:17,289 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 10:24:17,289 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 10:24:17,289 [INFO] 正在请求目标接口获取公共参数
2026-01-09 10:24:17,291 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:24:19,941 [INFO] 接口调用成功: 200
2026-01-09 10:24:21,983 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:24:24,471 [INFO] 接口调用成功: 200
2026-01-09 10:24:26,541 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 10:24:26,541 [INFO] 成功获取到值: 2601041845134031836
2026-01-09 10:24:26,569 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 10:24:26,569 [INFO] 成功获取到值: 412011250
2026-01-09 10:24:26,592 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 10:24:26,592 [INFO] 成功获取到值: BOSD9
2026-01-09 10:24:26,620 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 10:24:26,620 [INFO] 成功获取到值: 1026738
2026-01-09 10:24:26,635 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 10:24:26,635 [INFO] 成功获取到值: 1014477
2026-01-09 10:24:26,660 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 10:24:26,660 [INFO] 成功获取到值: QINGANG16
2026-01-09 10:24:26,675 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 10:24:26,675 [INFO] 成功获取到值: 鲁莱州渔养68883
2026-01-09 10:24:26,675 [INFO] 获取到的参数: targetId=2601041845134031836, mmsi=412011250, callSign=BOSD9, imo=1026738, terminal=1014477, vesselName=QINGANG16, shipName=鲁莱州渔养68883
2026-01-09 10:24:28,723 [INFO] 全局公共参数获取成功
2026-01-09 10:24:28,725 [INFO] 开始创建页面并执行登录
2026-01-09 10:24:28,977 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 10:24:47,335 [INFO] 正在执行登录操作
2026-01-09 10:24:48,902 [INFO] 登录成功
2026-01-09 10:24:48,903 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 10:24:54,185 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 10:24:58,401 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[小目标]
2026-01-09 10:24:58,409 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:24:58,409 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:25:02,573 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:25:02,608 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:02,609 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:25:06,749 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:25:06,764 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:06,766 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:25:10,913 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:25:10,967 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:10,968 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 10:25:15,091 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[渔船]
2026-01-09 10:25:15,108 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:15,109 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:25:19,273 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:25:19,313 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:19,314 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:25:23,472 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:25:23,485 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:25:23,486 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:25:27,649 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:25:28,842 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 10:25:28,868 [INFO] 页面上下文已关闭
2026-01-09 10:25:29,377 [INFO] 浏览器实例已关闭
2026-01-09 10:28:01,559 [INFO] 开始启动浏览器实例
2026-01-09 10:28:02,285 [INFO] 浏览器实例启动成功
2026-01-09 10:28:04,368 [INFO] 开始获取全局公共参数
2026-01-09 10:28:04,368 [INFO] 正在请求登录接口获取token
2026-01-09 10:28:04,368 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 10:28:06,585 [INFO] 接口调用成功: 200
2026-01-09 10:28:08,625 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 10:28:08,625 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 10:28:08,626 [INFO] 正在请求目标接口获取公共参数
2026-01-09 10:28:08,627 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:28:11,880 [INFO] 接口调用成功: 200
2026-01-09 10:28:13,918 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:28:16,522 [INFO] 接口调用成功: 200
2026-01-09 10:28:18,588 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 10:28:18,589 [INFO] 成功获取到值: 2512161257554016347
2026-01-09 10:28:18,611 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 10:28:18,611 [INFO] 成功获取到值: 413327750
2026-01-09 10:28:18,633 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 10:28:18,634 [INFO] 成功获取到值: BPVK4
2026-01-09 10:28:18,659 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 10:28:18,659 [INFO] 成功获取到值: 1026738
2026-01-09 10:28:18,674 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 10:28:18,674 [INFO] 成功获取到值: 1434862
2026-01-09 10:28:18,697 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 10:28:18,697 [INFO] 成功获取到值: YAN JIAO GONG 1 HAO
2026-01-09 10:28:18,711 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 10:28:18,711 [INFO] 成功获取到值: 鲁荣渔59367
2026-01-09 10:28:18,712 [INFO] 获取到的参数: targetId=2512161257554016347, mmsi=413327750, callSign=BPVK4, imo=1026738, terminal=1434862, vesselName=YAN JIAO GONG 1 HAO, shipName=鲁荣渔59367
2026-01-09 10:28:20,756 [INFO] 全局公共参数获取成功
2026-01-09 10:28:20,758 [INFO] 开始创建页面并执行登录
2026-01-09 10:28:21,105 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 10:28:34,893 [INFO] 正在执行登录操作
2026-01-09 10:28:36,169 [INFO] 登录成功
2026-01-09 10:28:36,169 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 10:28:36,653 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 10:28:36,673 [ERROR] 搜索 小目标 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(小目标)")

2026-01-09 10:28:36,845 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:36,845 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:28:36,864 [ERROR] 搜索 高速目标 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(高速目标)")

2026-01-09 10:28:36,948 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:36,948 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:28:36,967 [ERROR] 搜索 低速目标 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(低速目标)")

2026-01-09 10:28:37,052 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:37,053 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:28:37,066 [ERROR] 搜索 非大陆籍 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(非大陆籍)")

2026-01-09 10:28:37,152 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:37,153 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 10:28:37,168 [ERROR] 搜索 渔船 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(渔船)")

2026-01-09 10:28:37,247 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:37,248 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:28:37,267 [ERROR] 搜索 纯雷达 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(纯雷达)")

2026-01-09 10:28:37,368 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:37,369 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:28:37,386 [ERROR] 搜索 AIS目标 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(AIS目标)")

2026-01-09 10:28:37,472 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:28:37,473 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:28:37,488 [ERROR] 搜索 北斗目标 时发生错误: Locator.click: Error: "has-text" engine expects a single string
    at Object.matches (<anonymous>:5355:13)
    at <anonymous>:5217:21
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._callMatches (<anonymous>:5216:17)
    at SelectorEvaluatorImpl._matchesEngine (<anonymous>:5203:19)
    at <anonymous>:5130:50
    at Array.filter (<anonymous>)
    at <anonymous>:5130:31
    at SelectorEvaluatorImpl._cached (<anonymous>:5019:20)
    at SelectorEvaluatorImpl._querySimple (<anonymous>:5110:17)
Call log:
  - waiting for locator("button:has-text(北斗目标)")

2026-01-09 10:28:38,248 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 10:28:38,276 [INFO] 页面上下文已关闭
2026-01-09 10:28:38,817 [INFO] 浏览器实例已关闭
2026-01-09 10:30:21,079 [INFO] 开始启动浏览器实例
2026-01-09 10:30:21,853 [INFO] 浏览器实例启动成功
2026-01-09 10:30:23,926 [INFO] 开始获取全局公共参数
2026-01-09 10:30:23,927 [INFO] 正在请求登录接口获取token
2026-01-09 10:30:23,927 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 10:30:26,150 [INFO] 接口调用成功: 200
2026-01-09 10:30:28,193 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 10:30:28,193 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 10:30:28,194 [INFO] 正在请求目标接口获取公共参数
2026-01-09 10:30:28,211 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:30:31,089 [INFO] 接口调用成功: 200
2026-01-09 10:30:33,127 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:30:36,869 [INFO] 接口调用成功: 200
2026-01-09 10:30:38,951 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 10:30:38,952 [INFO] 成功获取到值: 2601081727094062159
2026-01-09 10:30:38,982 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 10:30:38,982 [INFO] 成功获取到值: 413376090
2026-01-09 10:30:39,011 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 10:30:39,011 [INFO] 成功获取到值: BPCP5
2026-01-09 10:30:39,039 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 10:30:39,040 [INFO] 成功获取到值: 1026738
2026-01-09 10:30:39,056 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 10:30:39,056 [INFO] 成功获取到值: 163453
2026-01-09 10:30:39,080 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 10:30:39,080 [INFO] 成功获取到值: YOU YI CHANG SHUN
2026-01-09 10:30:39,094 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 10:30:39,094 [INFO] 成功获取到值: 鲁东港渔养69101
2026-01-09 10:30:39,095 [INFO] 获取到的参数: targetId=2601081727094062159, mmsi=413376090, callSign=BPCP5, imo=1026738, terminal=163453, vesselName=YOU YI CHANG SHUN, shipName=鲁东港渔养69101
2026-01-09 10:30:41,132 [INFO] 全局公共参数获取成功
2026-01-09 10:30:41,134 [INFO] 开始创建页面并执行登录
2026-01-09 10:30:41,419 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 10:30:51,280 [INFO] 正在执行登录操作
2026-01-09 10:30:52,525 [INFO] 登录成功
2026-01-09 10:30:52,525 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
2026-01-09 10:30:57,819 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[小目标]
2026-01-09 10:31:02,131 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[小目标]
2026-01-09 10:31:02,134 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:02,136 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:31:06,276 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[高速目标]
2026-01-09 10:31:06,281 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:06,282 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:31:10,433 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[低速目标]
2026-01-09 10:31:10,461 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:10,462 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:31:14,607 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[非大陆籍]
2026-01-09 10:31:14,614 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:14,615 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[渔船]
2026-01-09 10:31:18,772 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[渔船]
2026-01-09 10:31:18,787 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:18,788 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:31:22,922 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[纯雷达]
2026-01-09 10:31:22,935 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:22,936 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:31:27,077 [INFO] 测试用例执行完成: test_target_filter_by_oneClick[AIS目标]
2026-01-09 10:31:27,108 [INFO] 已初始化一键筛选面板，跳过导航
2026-01-09 10:31:27,110 [INFO] 开始执行测试用例: test_target_filter_by_oneClick[北斗目标]
2026-01-09 10:31:27,151 [ERROR] 搜索 北斗目标 时发生错误: Locator.click: Error: strict mode violation: locator("button:has-text('北斗目标')") resolved to 2 elements:
    1) <button type="button" class="ant-btn default-group__inner-button ant-btn-primary">…</button> aka get_by_role("button", name="北斗目标")
    2) <button title="北斗目标" type="button" class="ant-btn targetTypeFiltering__inner-button targetTypeFiltering__inner-button-check">…</button> aka get_by_title("北斗目标")

Call log:
  - waiting for locator("button:has-text('北斗目标')")

2026-01-09 10:31:28,291 [ERROR] 添加Allure附件时出错: type object 'AttachmentType' has no attribute 'APPLICATION_ZIP'
2026-01-09 10:31:28,319 [INFO] 页面上下文已关闭
2026-01-09 10:31:28,870 [INFO] 浏览器实例已关闭
2026-01-09 10:36:50,682 [INFO] 开始启动浏览器实例
2026-01-09 10:36:51,376 [INFO] 浏览器实例启动成功
2026-01-09 10:36:53,467 [INFO] 开始获取全局公共参数
2026-01-09 10:36:53,467 [INFO] 正在请求登录接口获取token
2026-01-09 10:36:53,467 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 10:36:55,679 [INFO] 接口调用成功: 200
2026-01-09 10:36:57,766 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 10:36:57,766 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 10:36:57,766 [INFO] 正在请求目标接口获取公共参数
2026-01-09 10:36:57,766 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:37:00,514 [INFO] 接口调用成功: 200
2026-01-09 10:37:02,556 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:37:05,184 [INFO] 接口调用成功: 200
2026-01-09 10:37:07,250 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 10:37:07,250 [INFO] 成功获取到值: 2601081016404047512
2026-01-09 10:37:07,277 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 10:37:07,277 [INFO] 成功获取到值: 412480620
2026-01-09 10:37:07,299 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
